Time,Time Code,Country Name,Country Code,Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ],GDP (current US$) [NY.GDP.MKTP.CD],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]
2019,YR2019,Albania,ALB,82,15401830754.0773,18.1443771903866
2019,YR2019,Andorra,AND,..,3155065487.51819,..
2019,YR2019,Armenia,ARM,47,13619291361.2814,22.2851709900772
2019,YR2019,Austria,AUT,27,444621176100.548,25.5821783311983
2019,YR2019,Azerbaijan,AZE,28,48174235294.1176,14.2188526451777
2019,YR2019,Belarus,BLR,49,64409647193.8044,13.3015061393462
2019,YR2019,Belgium,BEL,46,535830876745.097,22.62131642449
2019,YR2019,Bosnia and Herzegovina,BIH,90,20202479537.5193,20.1013533136509
2019,YR2019,Bulgaria,BGR,61,68915875214.6537,20.4736245713875
2019,YR2019,Channel Islands,CHI,..,..,..
2019,YR2019,Croatia,HRV,51,62327983579.5899,21.6729080648553
2019,YR2019,Cyprus,CYP,54,25944504645.6957,23.3010327048071
2019,YR2019,Czechia,CZE,41,252548179964.897,14.7687696689181
2019,YR2019,Denmark,DNK,4,346498737961.635,34.6898168609167
2019,YR2019,Estonia,EST,18,31081901909.2156,21.2928815250286
2019,YR2019,Faroe Islands,FRO,..,3275706960.14634,..
2019,YR2019,Finland,FIN,20,268514916972.549,20.6684788499862
2019,YR2019,France,FRA,33,2728870246705.88,24.5146627776513
2019,YR2019,Georgia,GEO,7,17470436258.5131,23.1173329727924
2019,YR2019,Germany,DEU,22,3888226035921.56,11.4111238433057
2019,YR2019,Gibraltar,GIB,..,..,..
2019,YR2019,Greece,GRC,79,205257014892.502,26.1798097245255
2019,YR2019,Greenland,GRL,..,2994332323.74726,..
2019,YR2019,Hungary,HUN,52,163988594921.902,22.3684019223779
2019,YR2019,Iceland,ISL,26,24826102119.6357,21.8041300814743
2019,YR2019,Ireland,IRL,24,399321701632.431,17.7228804692017
2019,YR2019,Isle of Man,IMN,..,7315388052.08067,..
2019,YR2019,Italy,ITA,58,2011302198827.45,24.5767049036025
2019,YR2019,Kazakhstan,KAZ,25,181667190075.541,11.78694274063
2019,YR2019,Kosovo,XKX,57,7899879086.43081,..
2019,YR2019,Kyrgyz Republic,KGZ,80,8871026074.19762,16.8640679486618
2019,YR2019,Latvia,LVA,19,34343961072.8235,21.2656517507473
2019,YR2019,Liechtenstein,LIE,..,6427248943.44939,..
2019,YR2019,Lithuania,LTU,11,54751510087.7803,19.9867204337659
2019,YR2019,Luxembourg,LUX,72,69825641851.0117,26.4782859693754
2019,YR2019,Moldova,MDA,48,11971345002.7757,17.3103603225812
2019,YR2019,Monaco,MCO,..,7383745662.15157,..
2019,YR2019,Montenegro,MNE,50,5542053845.29274,..
2019,YR2019,Netherlands,NLD,42,910194347568.626,24.0454827779179
2019,YR2019,North Macedonia,MKD,17,12606338448.547,17.0832810795126
2019,YR2019,Norway,NOR,9,404941363636.364,23.5015787919912
2019,YR2019,Poland,POL,40,596054591863.312,17.3364818404434
2019,YR2019,Portugal,PRT,39,239986922638.902,22.2011920067777
2019,YR2019,Romania,ROU,55,251019278416.197,14.536086195587
2019,YR2019,Russian Federation,RUS,29,1693113904262.89,10.938399737976
2019,YR2019,San Marino,SMR,92,1616188702.34405,16.9127343335333
2019,YR2019,Serbia,SRB,44,51514222381.8428,24.0497349284773
2019,YR2019,Slovak Republic,SVK,45,105720354988.541,18.6260660928458
2019,YR2019,Slovenia,SVN,37,54331588482.3058,18.1721850221945
2019,YR2019,Spain,ESP,31,1394320055129.41,13.7486320897494
2019,YR2019,Sweden,SWE,10,533879529188.454,27.4127018295836
2019,YR2019,Switzerland,CHE,36,721369112726.724,9.90716918660662
2019,YR2019,Tajikistan,TJK,106,8300784856.87904,..
2019,YR2019,Turkiye,TUR,34,759937390496.669,16.5496059846196
2019,YR2019,Turkmenistan,TKM,..,45231428571.4286,..
2019,YR2019,Ukraine,UKR,64,153882982016.281,19.1961400966208
2019,YR2019,United Kingdom,GBR,8,2857057847953.02,25.1175420444006
2019,YR2019,Uzbekistan,UZB,69,59907674027.4676,12.6953747017566
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/22/2022,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,License URL
